序号,章节,行号,占位内容,分类,优先级,责任方,处理动作,上下文
125,2.4.4 供货部署与资源配置,1345,未说明,G-生产设备/检测设备/产能量化,P1,生产/质量负责人,依据设备台账、计量检定证书和产能统计表补充量化数据,-|------| | 微机控制电子万能试验机 | 【待补充】 | 【待补充】 | 【待补充】 | 用于力学性能检测 | | 热变形/维卡软化点温度测定仪 | 【待补充】 | 【待补充】 | 【待补充】 | 用于热性能检测 | | 电子天平 | 【待补充】 | 【待补充】 | 【待补充】 | 用于称重计量 | | 锤击试验装置 | 【待补充】 | 【待补充】 | 【待
126,2.4.4 供货部署与资源配置,1345,未说明,G-生产设备/检测设备/产能量化,P1,生产/质量负责人,依据设备台账、计量检定证书和产能统计表补充量化数据,| | 微机控制电子万能试验机 | 【待补充】 | 【待补充】 | 【待补充】 | 用于力学性能检测 | | 热变形/维卡软化点温度测定仪 | 【待补充】 | 【待补充】 | 【待补充】 | 用于热性能检测 | | 电子天平 | 【待补充】 | 【待补充】 | 【待补充】 | 用于称重计量 | | 锤击试验装置 | 【待补充】 | 【待补充】 | 【待补充】 | 用于
127,2.4.4 供货部署与资源配置,1345,未说明,G-生产设备/检测设备/产能量化,P1,生产/质量负责人,依据设备台账、计量检定证书和产能统计表补充量化数据,电子万能试验机 | 【待补充】 | 【待补充】 | 【待补充】 | 用于力学性能检测 | | 热变形/维卡软化点温度测定仪 | 【待补充】 | 【待补充】 | 【待补充】 | 用于热性能检测 | | 电子天平 | 【待补充】 | 【待补充】 | 【待补充】 | 用于称重计量 | | 锤击试验装置 | 【待补充】 | 【待补充】 | 【待补充】 | 用于冲击性能检测 |
128,2.4.4 供货部署与资源配置,1346,未说明,G-生产设备/检测设备/产能量化,P1,生产/质量负责人,依据设备台账、计量检定证书和产能统计表补充量化数据,待补充】 | 用于力学性能检测 | | 热变形/维卡软化点温度测定仪 | 【待补充】 | 【待补充】 | 【待补充】 | 用于热性能检测 | | 电子天平 | 【待补充】 | 【待补充】 | 【待补充】 | 用于称重计量 | | 锤击试验装置 | 【待补充】 | 【待补充】 | 【待补充】 | 用于冲击性能检测 | | 熔体流动速率仪 | 【待补充】 | 【待补充】 
129,2.4.4 供货部署与资源配置,1346,未说明,G-生产设备/检测设备/产能量化,P1,生产/质量负责人,依据设备台账、计量检定证书和产能统计表补充量化数据,于力学性能检测 | | 热变形/维卡软化点温度测定仪 | 【待补充】 | 【待补充】 | 【待补充】 | 用于热性能检测 | | 电子天平 | 【待补充】 | 【待补充】 | 【待补充】 | 用于称重计量 | | 锤击试验装置 | 【待补充】 | 【待补充】 | 【待补充】 | 用于冲击性能检测 | | 熔体流动速率仪 | 【待补充】 | 【待补充】 | 【待补充】 
130,2.4.4 供货部署与资源配置,1346,未说明,G-生产设备/检测设备/产能量化,P1,生产/质量负责人,依据设备台账、计量检定证书和产能统计表补充量化数据,| | 热变形/维卡软化点温度测定仪 | 【待补充】 | 【待补充】 | 【待补充】 | 用于热性能检测 | | 电子天平 | 【待补充】 | 【待补充】 | 【待补充】 | 用于称重计量 | | 锤击试验装置 | 【待补充】 | 【待补充】 | 【待补充】 | 用于冲击性能检测 | | 熔体流动速率仪 | 【待补充】 | 【待补充】 | 【待补充】 | 用于熔体流动
131,2.4.4 供货部署与资源配置,1347,未说明,Z-其他人工复核,P2,投标编制负责人,人工核实后填写, 【待补充】 | 【待补充】 | 用于热性能检测 | | 电子天平 | 【待补充】 | 【待补充】 | 【待补充】 | 用于称重计量 | | 锤击试验装置 | 【待补充】 | 【待补充】 | 【待补充】 | 用于冲击性能检测 | | 熔体流动速率仪 | 【待补充】 | 【待补充】 | 【待补充】 | 用于熔体流动速率检测 | | 电子拉力试验机 | 【待补充】 | 【
132,2.4.4 供货部署与资源配置,1347,未说明,Z-其他人工复核,P2,投标编制负责人,人工核实后填写, 【待补充】 | 用于热性能检测 | | 电子天平 | 【待补充】 | 【待补充】 | 【待补充】 | 用于称重计量 | | 锤击试验装置 | 【待补充】 | 【待补充】 | 【待补充】 | 用于冲击性能检测 | | 熔体流动速率仪 | 【待补充】 | 【待补充】 | 【待补充】 | 用于熔体流动速率检测 | | 电子拉力试验机 | 【待补充】 | 【待补充】 | 【
133,2.4.4 供货部署与资源配置,1347,未说明,Z-其他人工复核,P2,投标编制负责人,人工核实后填写, 用于热性能检测 | | 电子天平 | 【待补充】 | 【待补充】 | 【待补充】 | 用于称重计量 | | 锤击试验装置 | 【待补充】 | 【待补充】 | 【待补充】 | 用于冲击性能检测 | | 熔体流动速率仪 | 【待补充】 | 【待补充】 | 【待补充】 | 用于熔体流动速率检测 | | 电子拉力试验机 | 【待补充】 | 【待补充】 | 【待补充】 | 用
134,2.4.4 供货部署与资源配置,1348,未说明,G-生产设备/检测设备/产能量化,P1,生产/质量负责人,依据设备台账、计量检定证书和产能统计表补充量化数据,充】 | 【待补充】 | 用于称重计量 | | 锤击试验装置 | 【待补充】 | 【待补充】 | 【待补充】 | 用于冲击性能检测 | | 熔体流动速率仪 | 【待补充】 | 【待补充】 | 【待补充】 | 用于熔体流动速率检测 | | 电子拉力试验机 | 【待补充】 | 【待补充】 | 【待补充】 | 用于拉伸性能检测 |  所有设备台账、检定证书及操作规程文件随投
135,2.4.4 供货部署与资源配置,1348,未说明,G-生产设备/检测设备/产能量化,P1,生产/质量负责人,依据设备台账、计量检定证书和产能统计表补充量化数据,充】 | 用于称重计量 | | 锤击试验装置 | 【待补充】 | 【待补充】 | 【待补充】 | 用于冲击性能检测 | | 熔体流动速率仪 | 【待补充】 | 【待补充】 | 【待补充】 | 用于熔体流动速率检测 | | 电子拉力试验机 | 【待补充】 | 【待补充】 | 【待补充】 | 用于拉伸性能检测 |  所有设备台账、检定证书及操作规程文件随投标文件一并提供（
136,2.4.4 供货部署与资源配置,1348,未说明,G-生产设备/检测设备/产能量化,P1,生产/质量负责人,依据设备台账、计量检定证书和产能统计表补充量化数据,重计量 | | 锤击试验装置 | 【待补充】 | 【待补充】 | 【待补充】 | 用于冲击性能检测 | | 熔体流动速率仪 | 【待补充】 | 【待补充】 | 【待补充】 | 用于熔体流动速率检测 | | 电子拉力试验机 | 【待补充】 | 【待补充】 | 【待补充】 | 用于拉伸性能检测 |  所有设备台账、检定证书及操作规程文件随投标文件一并提供（详见资格文件附件
137,2.4.4 供货部署与资源配置,1349,未说明,G-生产设备/检测设备/产能量化,P1,生产/质量负责人,依据设备台账、计量检定证书和产能统计表补充量化数据,【待补充】 | 用于冲击性能检测 | | 熔体流动速率仪 | 【待补充】 | 【待补充】 | 【待补充】 | 用于熔体流动速率检测 | | 电子拉力试验机 | 【待补充】 | 【待补充】 | 【待补充】 | 用于拉伸性能检测 |  所有设备台账、检定证书及操作规程文件随投标文件一并提供（详见资格文件附件【待补充：设备及计量器具    ![泰昌碳足迹报告第10页](/a
138,2.4.4 供货部署与资源配置,1349,未说明,G-生产设备/检测设备/产能量化,P1,生产/质量负责人,依据设备台账、计量检定证书和产能统计表补充量化数据,用于冲击性能检测 | | 熔体流动速率仪 | 【待补充】 | 【待补充】 | 【待补充】 | 用于熔体流动速率检测 | | 电子拉力试验机 | 【待补充】 | 【待补充】 | 【待补充】 | 用于拉伸性能检测 |  所有设备台账、检定证书及操作规程文件随投标文件一并提供（详见资格文件附件【待补充：设备及计量器具    ![泰昌碳足迹报告第10页](/api/biddi
139,2.4.4 供货部署与资源配置,1349,未说明,G-生产设备/检测设备/产能量化,P1,生产/质量负责人,依据设备台账、计量检定证书和产能统计表补充量化数据, | | 熔体流动速率仪 | 【待补充】 | 【待补充】 | 【待补充】 | 用于熔体流动速率检测 | | 电子拉力试验机 | 【待补充】 | 【待补充】 | 【待补充】 | 用于拉伸性能检测 |  所有设备台账、检定证书及操作规程文件随投标文件一并提供（详见资格文件附件【待补充：设备及计量器具    ![泰昌碳足迹报告第10页](/api/bidding/knowl
140,2.4.4 供货部署与资源配置,1351,设备及计量器具 ![泰昌碳足迹报告第10页](/api/bidding/knowledge/assets/b9c4ac84-e14b-4b7b-b8f0-...,G-生产设备/检测设备/产能量化,P1,生产/质量负责人,依据设备台账、计量检定证书和产能统计表补充量化数据,拉力试验机 | 【待补充】 | 【待补充】 | 【待补充】 | 用于拉伸性能检测 |  所有设备台账、检定证书及操作规程文件随投标文件一并提供（详见资格文件附件【待补充：设备及计量器具    ![泰昌碳足迹报告第10页](/api/bidding/knowledge/assets/b9c4ac84-e14b-4b7b-b8f0-2a2727eb12e0/file?variant=original)  图示：泰昌碳足迹报告第10页    
141,3. 投标函及格式文件,1373,2225AC,Z-其他人工复核,P2,投标编制负责人,人工核实后填写,、投标人须知、合同条款、技术规范及供货要求等。经慎重考虑，我方郑重承诺如下：  一、我方愿意按照招标文件规定的各项要求，以投标报价表中所列明的价格，提供招标编号【待补充：2225AC】下第【待补充：分标编号】分标【待补充：包号】包（产品名称：电缆保护管，具体型号详见投标报价表）的供货、包装、运输、交付及售后服务。  二、我方投标总价为人民币【待补充：投标总价（小写及大写）】元（含税
